,index,track,start,end,nframes,x_first,x_std,x_last,x_nth,y_first,y_std,y_last,y_nth,conf_min,conf_mean,conf_max,mindim_mean,mindim_std,maxdim_mean,maxdim_std,x_dist,y_dist,dur_s,detect_dens,init_move,init_dir,ledge,Unnamed: 0,RandFor,KNear,NaBayes,DecTree,SVM,LogReg,multi
0,0,FAR3_2023-06-13_03-0001,2023-06-13 03:06:30.079628,2023-06-13 03:06:30.359627,7,1278.427734375,6.8054230748490445,1259.6114501953125,1259.6114501953125,1325.979736328125,12.245841298949287,1296.972412109375,1296.972412109375,0.1434302628040313,0.32088620747838703,0.6421725153923035,57.1082763671875,6.298166454170306,76.0426025390625,18.025945478899306,18.8162841796875,34.3857421875,0.279999,25.000089286033166,34.57567654670604,357.7242972295803,FAR3,0,0,0,0,1,0,0,1
1,1,FAR3_2023-06-13_03-0002,2023-06-13 03:09:36.839450,2023-06-13 03:09:37.399449,16,1171.419677734375,24.95594517897071,1278.1405029296875,1271.337890625,1206.0816650390625,27.64479346839348,1318.1881103515625,1316.640869140625,0.1108479127287864,0.459939559455961,0.6361824870109558,40.49485778808594,3.093087130112923,117.22859191894531,19.491255791712202,195.20654296875,211.0047607421875,0.559999,28.57147959192784,149.02008884317314,358.5117062426057,FAR3,1,1,0,0,1,0,0,2
3,3,FAR3_2023-06-13_03-0007,2023-06-13 03:25:04.478565,2023-06-13 03:25:06.798563,59,1349.2431640625,5.50426581061124,1352.684326171875,1334.8349609375,936.3053588867188,4.1496662335098495,936.4734497070312,930.0319213867188,0.127938836812973,0.4887030172651097,0.7266279458999634,73.05860823291843,3.0167899921318564,91.10930568889036,5.393078516960333,70.2515869140625,179.9598999023426,2.319998,25.43105640608311,15.71471715805493,7.628631610918532,FAR3,3,0,0,0,1,0,0,1
4,4,FAR3_2023-06-13_03-0008,2023-06-13 03:27:13.478442,2023-06-13 03:27:14.478441,11,1158.0498046875,10.566333325185159,1194.16455078125,1184.401123046875,1141.34765625,24.738539877582323,1222.6649169921875,1223.8095703125,0.182823970913887,0.4506991519169374,0.7368552684783936,54.97113591974432,7.815755937998565,81.84339488636364,12.783062338809815,240.859130859375,290.31768798828125,0.999999,11.000011000011,86.569967368183,351.9685542115973,FAR3,4,1,0,0,1,0,0,2
5,5,FAR3_2023-06-13_03-0009,2023-06-13 03:28:00.998396,2023-06-13 03:28:01.118396,4,1293.856201171875,3.2345717204434217,1287.1494140625,1287.1494140625,1330.357666015625,2.183920718947078,1325.262939453125,1325.262939453125,0.3483380675315857,0.6181457340717316,0.7253012657165527,59.56512451171875,1.2474587576597105,111.21072387695312,1.25526292390023,106.3984375,112.7874755859375,0.12,33.333333333333336,8.42242435864649,359.47393364166675,FAR3,5,0,0,0,1,1,1,3
6,6,FAR3_2023-06-13_03-0010,2023-06-13 03:28:48.078351,2023-06-13 03:28:48.278351,4,1175.6434326171875,7.882038388696579,1193.9151611328125,1193.9151611328125,1153.091796875,18.716748631437202,1197.216552734375,1197.216552734375,0.1346943974494934,0.4952630400657654,0.7748900055885315,56.8433837890625,13.892472130034887,73.19967651367188,12.709336066178583,129.7777099609375,216.2958984375,0.2,20.0,47.75824685431985,352.20342833240255,FAR3,6,1,0,0,1,1,1,4
7,7,FAR3_2023-06-13_03-0014,2023-06-13 03:36:42.997899,2023-06-13 03:36:44.677897,43,1291.8759765625,2.6365204791054397,1287.6990966796875,1290.0606689453125,1369.2503662109375,5.330867013311983,1344.2108154296875,1358.532958984375,0.1638871878385543,0.5301345423903576,0.6784059405326843,46.9989751771439,3.662818391412199,72.3241335846657,5.814671049099065,261.2952880859375,138.760009765625,1.6799979999999999,25.595268565795912,10.870057930158103,359.6665921783453,FAR3,7,0,0,0,0,1,1,2
8,8,FAR3_2023-06-13_03-0017,2023-06-13 03:40:02.757708,2023-06-13 03:40:16.157695,18,1305.279541015625,64.01956437285105,1441.4327392578125,1313.2718505859375,1197.32470703125,29.50147972159411,1270.5047607421875,1235.993896484375,0.1181460246443748,0.41465502025352585,0.6461924314498901,48.92390272352431,12.380640215751079,112.60044352213542,15.581041334359115,297.84375,150.8551025390625,13.399987,1.3432848852763812,39.48649421295062,1.2189985165057362,FAR3,8,1,0,0,1,1,0,3
9,9,FAR3_2023-06-13_03-0020,2023-06-13 03:41:11.437643,2023-06-13 03:41:11.557642,4,1425.6204833984375,9.149646533837435,1446.215576171875,1446.215576171875,864.3322143554688,12.548190855328299,892.9620361328125,892.9620361328125,0.2610008120536804,0.635097861289978,0.7826914191246033,106.99919128417974,7.013132149705295,142.78707885742188,10.014907295617537,389.05078125,424.8092041015625,0.119999,33.333611113425945,35.2678967525562,33.52508182521882,FAR3,9,1,0,0,1,1,0,3
10,10,FAR3_2023-06-13_03-0021,2023-06-13 03:41:18.077636,2023-06-13 03:41:18.597636,6,1419.478759765625,58.597757367562075,1277.529296875,1277.529296875,1279.012451171875,14.916956648697361,1310.865478515625,1310.865478515625,0.1315434128046035,0.4481901302933693,0.6471698880195618,47.019877115885414,9.611443596042713,102.51613362630208,9.456279060553804,175.171142578125,438.0279541015625,0.52,11.538461538461538,145.4794327934317,358.87354685075417,FAR3,10,1,0,0,1,1,1,4
